Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
3,0.175,0.007,0.064,0.108,0.011,0.041,9.796,17.707,15.549
1,0.08,0.012,0.046,0.119,0.018,0.043,9.542,18.152,15.936
0,0.056,0.004,0.023,0.086,0.007,0.027,9.564,18.249,15.848
0,0.038,0.017,0.023,0.051,0.016,0.025,9.621,18.37,15.856
4,0.161,0.072,0.121,0.138,0.061,0.104,11.039,19.13,17.166
1,0.135,0.02,0.058,0.109,0.024,0.047,10.944,18.708,17.942
0,0.061,0.02,0.131,0.061,0.021,0.084,10.035,17.941,17.073
2,0.042,0.01,0.105,0.063,0.014,0.094,10.259,17.528,16.141
2,0.024,0.006,0.093,0.031,0.01,0.082,10.203,17.359,16.442
1,0.034,0.005,0.029,0.045,0.009,0.024,10.059,16.769,16.23
1,0.008,0.003,0.072,0.014,0.005,0.05,10.056,17.553,16.437
1,0.013,0.004,0.035,0.017,0.007,0.029,10.023,18.009,16.678
3,0.024,0.006,0.059,0.03,0.01,0.057,10.046,17.289,16.204
0,0.048,0.007,0.02,0.059,0.009,0.019,10.082,16.816,15.798
3,0.166,0.053,0.094,0.15,0.034,0.062,10.523,17.89,16.534
3,0.051,0.012,0.049,0.057,0.014,0.027,9.761,17.363,16.534
0,0.052,0.009,0.023,0.068,0.012,0.022,9.716,17.012,16.165
1,0.084,0.006,0.03,0.102,0.011,0.029,9.411,17.14,16.324
0,0.031,0.006,0.011,0.034,0.01,0.012,9.388,17.158,16.189
3,0.301,0.037,0.12,0.196,0.036,0.067,11.96,18.736,16.864
9,0.236,0.203,0.146,0.225,0.224,0.125,12.733,20.286,17.989
2,0.358,0.331,0.057,0.29,0.309,0.06,9.144,20.346,20.049
1,0.071,0.106,0.044,0.061,0.085,0.038,7.341,21.537,21.311
1,0.026,0.165,0.045,0.027,0.152,0.036,9.066,22.592,21.828
1,0.025,0.164,0.03,0.022,0.152,0.032,10.476,23.082,21.533
6,0.35,0.42,0.14,0.332,0.398,0.138,11.91,23.083,20.79
5,0.61,0.198,0.097,0.425,0.156,0.074,12.717,21.855,20.685
8,0.664,0.099,0.115,0.441,0.065,0.081,19.86,24.819,20.536
6,1.252,0.423,0.161,1.128,0.413,0.117,18.674,24.156,19.574
4,0.547,0.189,0.118,0.452,0.217,0.079,13.417,24.561,19.74
3,0.644,0.175,0.113,0.751,0.158,0.079,12.82,23.353,19.441
1,0.42,0.109,0.119,0.402,0.084,0.089,12.943,22.028,19.07
5,0.32,0.212,0.185,0.309,0.181,0.129,10.98,20.351,17.248
1,0.325,0.259,0.113,0.321,0.278,0.091,11.497,18.862,17.081
2,0.425,0.415,0.109,0.357,0.466,0.093,10.72,18.513,18.816
5,0.151,0.07,0.127,0.115,0.087,0.074,9.997,19.632,17.241
0,0.041,0.006,0.044,0.048,0.009,0.034,9.986,18.783,16.102
0,0.027,0.004,0.021,0.037,0.007,0.017,10.016,18.365,15.582
0,0.069,0.008,0.021,0.096,0.013,0.021,9.903,18.286,15.515
1,0.066,0.007,0.042,0.077,0.011,0.036,9.779,18.568,15.679
3,0.066,0.007,0.04,0.054,0.009,0.034,10.024,19.097,15.927
0,0.036,0.005,0.033,0.044,0.008,0.032,9.881,18.765,15.77
1,0.059,0.005,0.021,0.061,0.007,0.022,9.738,18.855,15.842
1,0.033,0.004,0.013,0.034,0.007,0.016,9.587,19.035,16.004
2,0.059,0.006,0.031,0.045,0.007,0.023,9.415,18.933,16.031
0,0.033,0.006,0.012,0.03,0.009,0.015,9.317,18.447,15.683
2,0.026,0.004,0.019,0.025,0.007,0.019,9.296,18.275,15.574
0,0.041,0.003,0.019,0.041,0.006,0.02,9.245,18.202,15.481
3,0.124,0.011,0.074,0.082,0.013,0.049,9.717,18.87,15.896
1,0.077,0.011,0.132,0.099,0.012,0.093,9.691,18.018,15.412
0,0.039,0.006,0.019,0.054,0.008,0.018,9.47,17.285,14.648
1,0.051,0.006,0.04,0.046,0.008,0.029,9.38,17.698,14.913
1,0.029,0.007,0.026,0.034,0.012,0.025,9.117,18.348,15.566
