Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
6,0.413,0.035,0.054,0.316,0.032,0.045,10.144,23.122,20.38
7,0.796,0.053,0.08,0.572,0.056,0.079,13.54,24.438,20.873
6,0.613,0.311,0.146,0.531,0.346,0.143,12.771,22.639,21.083
2,0.428,0.223,0.121,0.369,0.227,0.101,9.314,22.356,21.599
2,0.595,0.655,0.14,0.493,0.626,0.103,13.07,23.297,24.996
2,0.273,0.469,0.198,0.212,0.315,0.129,16.291,22.18,26.181
3,0.224,0.256,0.067,0.172,0.188,0.073,10.663,22.691,23.408
3,0.272,0.377,0.087,0.169,0.198,0.069,11.593,22.941,22.419
5,0.519,0.601,0.345,0.448,0.582,0.324,12.696,22.655,22.527
5,0.374,0.121,0.144,0.257,0.111,0.089,11.879,21.109,21.413
4,0.373,0.122,0.126,0.309,0.097,0.097,10.521,22.224,20.609
10,0.42,0.248,0.195,0.275,0.178,0.125,17.403,26.197,22.927
1,0.419,0.054,0.125,0.207,0.043,0.063,10.016,25.726,23.549
3,0.136,0.018,0.072,0.108,0.018,0.05,7.464,25.134,22.46
10,0.89,0.162,0.2,0.896,0.122,0.144,7.739,24.49,22.486
2,1.425,0.803,0.285,1.537,0.753,0.282,16.139,25.157,22.196
3,0.519,0.058,0.056,0.436,0.062,0.054,16.932,25.844,21.846
9,0.463,0.302,0.147,0.343,0.298,0.098,12.798,23.034,21.351
5,0.392,0.209,0.084,0.215,0.127,0.062,13.912,25.823,22.408
10,0.164,0.254,0.209,0.11,0.184,0.185,5.586,23.353,22.396
0,0.006,0.007,0.028,0.009,0.009,0.038,5.037,22.451,21.67
1,0.002,0.002,0.015,0.004,0.004,0.022,5.044,22.447,21.659
1,0.002,0.003,0.012,0.005,0.005,0.019,5.046,22.385,21.601
0,0.004,0.002,0.012,0.007,0.004,0.017,5.046,22.349,21.533
0,0.004,0.001,0.013,0.007,0.003,0.019,5.049,22.328,21.497
0,0.003,0.003,0.014,0.006,0.004,0.021,5.057,22.309,21.478
1,0.004,0.005,0.014,0.007,0.006,0.021,5.072,22.289,21.48
0,0.002,0.001,0.012,0.004,0.003,0.019,5.061,22.281,21.479
0,0.001,0.002,0.013,0.001,0.004,0.019,5.058,22.303,21.496
0,0.003,0.003,0.013,0.005,0.005,0.021,5.061,22.319,21.51
